Department,First,Last,Name,Rank
Federal Bureau of Investigation,leonard,hatton,LEONARD W HATTON,Special Agent
"New York City, New York, F.D.",ronald,bucca,RONALD P BUCCA,Fire Marshal
"New York City, NY, P.D.",john,coughlin,JOHN G COUGHLIN,Sergeant
"New York City, NY, P.D.",michael,curtin,MICHAEL CURTIN,Sergeant
"New York City, NY, P.D.",john,d’allara,JOHN D’ALLARA,Police Officer
"New York City, NY, P.D.",vincent,danz,VINCENT G DANZ,Police Officer
"New York City, NY, P.D.",jerome,dominguez,JEROME M DOMINGUEZ,Police Officer
"New York City, NY, P.D.",stephen,driscoll,STEPHEN P DRISCOLL,Police Officer
"New York City, NY, P.D.",mark,ellis,MARK ELLIS,Police Officer
"New York City, NY, P.D.",robert,fazio,ROBERT FAZIO,Police Officer
"New York City, NY, P.D.",rodney,gillis,RODNEY C GILLIS,Sergeant
"New York City, NY, P.D.",ronald,kloepfer,RONALD KLOEPFER,Police Officer
"New York City, NY, P.D.",thomas,langone,THOMAS LANGONE,Police Officer
"New York City, NY, P.D.",james,leahy,JAMES LEAHY,Police Officer
"New York City, NY, P.D.",brian,mcdonnell,BRIAN G MCDONNELL,Police Officer
"New York City, NY, P.D.",john,perry,JOHN WILLIAM PERRY,Police Officer
"New York City, NY, P.D.",glen,pettit,GLEN PETTIT,Police Officer
"New York City, NY, P.D.",claude,richards,CLAUDE RICHARDS,Detective
"New York City, NY, P.D.",timothy,roy,TIMOTHY ROY,Sergeant
"New York City, NY, P.D.",moira,smith,MOIRA SMITH,Police Officer
"New York City, NY, P.D.",ramon,suarez,RAMON SUAREZ,Police Officer
"New York City, NY, P.D.",paul,talty,PAUL TALTY,Police Officer
"New York City, NY, P.D.",santos,valentin,SANTOS VALENTIN JR,Police Officer
"New York City, NY, P.D.",joseph,vigiano,JOSEPH VINCENT VIGIANO,Detective
"New York City, NY, P.D.",walter,weaver,WALTER WEAVER,Police Officer
New York State Office of Court Administration,thomas,jurgens,THOMAS E JURGENS,Senior Court Officer
New York State Office of Court Administration,william,thompson,WILLIAM HARRY THOMPSON,Captain
