Name,Rank,Department
LEONARD W HATTON,Special Agent,Federal Bureau of Investigation
RONALD P BUCCA,Fire Marshal,"New York City, New York, F.D."
JOHN G COUGHLIN,Sergeant,"New York City, NY, P.D."
MICHAEL CURTIN,Sergeant,"New York City, NY, P.D."
JOHN D’ALLARA,Police Officer,"New York City, NY, P.D."
VINCENT G DANZ,Police Officer,"New York City, NY, P.D."
JEROME M DOMINGUEZ,Police Officer,"New York City, NY, P.D."
STEPHEN P DRISCOLL,Police Officer,"New York City, NY, P.D."
MARK ELLIS,Police Officer,"New York City, NY, P.D."
ROBERT FAZIO,Police Officer,"New York City, NY, P.D."
RODNEY C GILLIS,Sergeant,"New York City, NY, P.D."
RONALD KLOEPFER,Police Officer,"New York City, NY, P.D."
THOMAS LANGONE,Police Officer,"New York City, NY, P.D."
JAMES LEAHY,Police Officer,"New York City, NY, P.D."
BRIAN G MCDONNELL,Police Officer,"New York City, NY, P.D."
JOHN WILLIAM PERRY,Police Officer,"New York City, NY, P.D."
GLEN PETTIT,Police Officer,"New York City, NY, P.D."
CLAUDE RICHARDS,Detective,"New York City, NY, P.D."
TIMOTHY ROY,Sergeant,"New York City, NY, P.D."
MOIRA SMITH,Police Officer,"New York City, NY, P.D."
RAMON SUAREZ,Police Officer,"New York City, NY, P.D."
PAUL TALTY,Police Officer,"New York City, NY, P.D."
SANTOS VALENTIN JR,Police Officer,"New York City, NY, P.D."
JOSEPH VINCENT VIGIANO,Detective,"New York City, NY, P.D."
WALTER WEAVER,Police Officer,"New York City, NY, P.D."
THOMAS E JURGENS,Senior Court Officer,New York State Office of Court Administration
WILLIAM HARRY THOMPSON,Captain,New York State Office of Court Administration
MITCHEL SCOTT WALLACE,Senior Court Officer,New York State Office of Court Administration
CLYDE FRAZIER JR,Crime Specialist I,NY State Department of Taxation & Finance
CHARLES M MILLS,Director of Investigations,NY State Department of Taxation & Finance
RICHARD R MOORE,Revenue Crimes,NY State Department of Taxation & Finance
SALVATORE PAPASSO,Revenue Crimes,NY State Department of Taxation & Finance
WILLIAM H POHLMANN,Assistant Deputy,NY State Department of Taxation & Finance
CHRISTOPHER C AMOROSO,Police Officer,"Port Authority of New York/ New Jersey, P.D."
MAURICE VINCENT BARRY,Police Officer,"Port Authority of New York/ New Jersey, P.D."
LIAM CALLAHAN,Police Officer,"Port Authority of New York/ New Jersey, P.D."
ROBERT D CIRRI SR,Lieutenant,"Port Authority of New York/ New Jersey, P.D."
CLINTON DAVIS SR,Police Officer,"Port Authority of New York/ New Jersey, P.D."
DONALD A FOREMAN,Police Officer,"Port Authority of New York/ New Jersey, P.D."
GREGG JOHN FROEHNER,Police Officer,"Port Authority of New York/ New Jersey, P.D."
THOMAS EDWARD GORMAN,Police Officer,"Port Authority of New York/ New Jersey, P.D."
UHURU GONJA HOUSTON,Police Officer,"Port Authority of New York/ New Jersey, P.D."
GEORGE G HOWARD,Police Officer,"Port Authority of New York/ New Jersey, P.D."
STEPHEN HUCZKO JR,Police Officer,"Port Authority of New York/ New Jersey, P.D."
ANTHONY P INFANTE JR,Inspector,"Port Authority of New York/ New Jersey, P.D."
PAUL W JURGENS,Police Officer,"Port Authority of New York/ New Jersey, P.D."
ROBERT M KAULFERS,Sergeant,"Port Authority of New York/ New Jersey, P.D."
PAUL LASZCZYNSKI,Police Officer,"Port Authority of New York/ New Jersey, P.D."
DAVID P LEMAGNE,Police Officer,"Port Authority of New York/ New Jersey, P.D."
JOHN J LENNON,Police Officer,"Port Authority of New York/ New Jersey, P.D."
J D LEVI,Police Officer,"Port Authority of New York/ New Jersey, P.D."
JAMES F LYNCH,Police Officer,"Port Authority of New York/ New Jersey, P.D."
KATHY N MAZZA,Captain,"Port Authority of New York/ New Jersey, P.D."
DONALD J MCINTYRE,Police Officer,"Port Authority of New York/ New Jersey, P.D."
WALTER ARTHUR MCNEIL,Police Officer,"Port Authority of New York/ New Jersey, P.D."
FRED V MORRONE,Superintendent,"Port Authority of New York/ New Jersey, P.D."
JOSEPH M NAVAS,Police Officer,"Port Authority of New York/ New Jersey, P.D."
JAMES A NELSON,Police Officer,"Port Authority of New York/ New Jersey, P.D."
ALFONSE J NIEDERMEYER III,Police Officer,"Port Authority of New York/ New Jersey, P.D."
JAMES W PARHAM,Police Officer,"Port Authority of New York/ New Jersey, P.D."
DOMINICK PEZZULO,Police Officer,"Port Authority of New York/ New Jersey, P.D."
BRUCE A REYNOLDS,Police Officer,"Port Authority of New York/ New Jersey, P.D."
ANTONIO JOSE RODRIGUES,Police Officer,"Port Authority of New York/ New Jersey, P.D."
RICHARD RODRIGUEZ,Police Officer,"Port Authority of New York/ New Jersey, P.D."
JAMES A ROMITO,Chief,"Port Authority of New York/ New Jersey, P.D."
JOHN P SKALA,Police Officer,"Port Authority of New York/ New Jersey, P.D."
WALWYN W STUART JR,Police Officer,"Port Authority of New York/ New Jersey, P.D."
KENNETH F TIETJEN,Police Officer,"Port Authority of New York/ New Jersey, P.D."
NATHANIEL WEBB,Police Officer,"Port Authority of New York/ New Jersey, P.D."
MICHAEL T WHOLEY,Police Officer,"Port Authority of New York/ New Jersey, P.D."
RICHARD JERRY GUADAGNO,Refuge Manager,U.S. Fish & Wildlife Service
CRAIG JAMES MILLER,Master Special Officer,U.S. Secret Service
