Name
"Gordon M. Aamoth, Jr. S-49"
Edelmiro Abad S-40
Marie Rose Abad S-34
Andrew Anthony Abate N-57
Vincent Paul Abate N-57
Laurence Christopher Abel N-32
Alona Abraham S-4
William F. Abrahamson N-7
Richard Anthony Aceto N-4
Heinrich Bernhard Ackermann S-55
Paul Acquaviva N-37
Christian Adams S-68
Donald LaRoy Adams N-55
Patrick Adams S-45
Shannon Lewis Adams N-49
Stephen George Adams N-70
Ignatius Udo Adanga N-71
Christy A. Addamo N-8
"Terence Edward Adderley, Jr. N-58"
Sophia B. Addo N-68
Lee Adler N-37
Daniel Thomas Afflitto N-25
Emmanuel Akwasi Afuakwah N-71
Alok Agarwal N-36
Mukul Kumar Agarwala S-43
Joseph Agnello S-11
David Scott Agnes N-47
"Joao Alberto da Fonseca Aguiar, Jr. S-34"
Brian G. Ahearn S-13
Jeremiah Joseph Ahern S-47
Joanne Marie Ahladiotis N-37
Shabbir Ahmed N-70
Terrance Andre Aiken N-17
Godwin O. Ajala S-65
Trudi M. Alagero N-5
Andrew Alameno N-52
Margaret Ann Alario S-63
Gary M. Albero S-63
Jon Leslie Albert N-7
Peter Craig Alderman N-21
Jacquelyn Delaine Aldridge- Frederick N-10
David D. Alger N-59
Ernest Alikakos S-47
Edward L. Allegretto N-40
Eric Allen S-21
Joseph Ryan Allen N-41
Richard Dennis Allen S-21
Richard L. Allen N-19
Christopher E. Allingham N-42
Anna S. W. Allison N-2
Janet Marie Alonso N-5
Anthony Alvarado N-23
Antonio Javier Alvarez N-70
Victoria Alvarez-Brito N-8
Telmo E. Alvear N-71
Cesar Amoranto Alviar N-16
Tariq Amanullah S-42
Angelo Amaranto N-64
James M. Amato S-7
Joseph Amatuccio S-24
Paul W. Ambrose S-70
Christopher Charles Amoroso S-28
Craig Scott Amundson S-74
Kazuhiro Anai N-63
"Calixto Anaya, Jr. S-21"
Joseph P. Anchundia S-52
Kermit Charles Anderson N-9
Yvette Constance Anderson S-48
John Jack Andreacchio S-44
Michael Rourke Andrews N-53
Jean Ann Andrucki N-66
Siew-Nya Ang N-5
"Joseph Angelini, Sr. S-9"
"Joseph John Angelini, Jr. S-9"
David Lawrence Angell N-1
Mary Lynn Edwards Angell N-1
Laura Angilletta N-32
Doreen J. Angrisani N-15
Lorraine Antigua N-53
Seima David Aoyama N-2
Peter Paul Apollo N-26
"Faustino Apostol, Jr. S-6"
Frank Thomas Aquilino N-39
Patrick Michael Aranyos S-30
David Gregory Arce S-13
Michael George Arczynski S-54
Louis Arena S-5
Barbara Jean Arestegui N-74
Adam P. Arias S-31
Michael J. Armstrong N-43
Jack Charles Aron N-4
Joshua Todd Aron N-42
Richard Avery Aronow N-66
Myra Joy Aronson N-74
Japhet Jesse Aryee S-48
Carl Francis Asaro S-10
Michael A. Asciak N-63
Michael Edward Asher N-36
Janice Marie Ashley N-58
Thomas J. Ashton N-19
Manuel O. Asitimbay N-68
Gregg A. Atlas S-5
Gerald Thomas Atwood S-11
James Audiffred N-64
"Louis F. Aversano, Jr. S-58"
Ezra Aviles N-65
Sandy Ayala N-70
Arlene T. Babakitis N-66
Eustace R. Bacchus N-71
John J. Badagliacca N-52
Jane Ellen Baeszler N-43
Robert J. Baierwalter S-63
Andrew J. Bailey N-12
Brett T. Bailey S-31
Garnet Ace Bailey S-3
Tatyana Bakalinskaya N-17
Michael S. Baksh N-16
Sharon M. Balkcom N-7
Michael Andrew Bane N-14
Katherine Bantis N-12
Gerard Baptiste S-14
Walter Baran S-40
Gerard A. Barbara S-18
Paul Vincent Barbaro N-36
James William Barbella S-26
Victor Daniel Barbosa S-37
Christine Johnna Barbuto N-1
Colleen Ann Barkow N-32
David Michael Barkway N-42
Matthew Barnes S-21
Melissa Rose Barnes S-72
Sheila Patricia Barnes S-58
Evan Jay Baron N-60
Renee Barrett-Arjune N-48
Arthur Thaddeus Barry S-20
Diane G. Barry S-56
Maurice Vincent Barry S-28
Scott D. Bart N-9
Carlton W. Bartels N-50
Guy Barzvi N-48
Inna B. Basina N-48
Alysia Christine Burton Basmajian N-47
Kenneth William Basnicki N-21
Steven Joseph Bates S-6
Paul James Battaglia N-4
W. David Bauer N-37
Ivhan Luis Carpio Bautista N-69
Marlyn Capito Bautista N-6
Mark Lawrence Bavis S-3
Jasper Baxter S-45
Lorraine G. Bay S-67
Michele Beale N-20
Todd M. Beamer S-68
Paul Frederick Beatini S-63
Jane S. Beatty N-9
Alan Anthony Beaven S-67
Lawrence Ira Beck N-31
Manette Marie Beckles S-42
Carl John Bedigian S-21
Michael Ernest Beekman S-48
Maria A. Behr N-27
Max J. Beilke S-1
Yelena Belilovsky N-61
Nina Patrice Bell N-8
Debbie S. Bellows N-37
Stephen Elliot Belson S-17
Paul M. Benedetti S-62
Denise Lenore Benedetto S-60
Bryan Craig Bennett N-55
Eric L. Bennett N-65
Oliver Bennett N-20
Margaret L. Benson N-66
Dominick J. Berardi N-31
James Patrick Berger S-56
Steven Howard Berger S-48
John P. Bergin S-6
Alvin Bergsohn N-25
Daniel David Bergstein N-66
Graham Andrew Berkeley S-3
Michael J. Berkeley N-67
Donna M. Bernaerts N-16
David W. Bernard S-66
William H. Bernstein N-56
David M. Berray N-20
David Shelby Berry S-36
Joseph John Berry S-36
William Reed Bethke N-10
Yeneneh Betru S-69
Timothy D. Betterly N-41
Carolyn Mayer Beug N-1
Edward Frank Beyea N-65
Paul Michael Beyer S-14
Anil Tahilram Bharvaney N-22
Bella J. Bhukhan N-49
Shimmy D. Biegeleisen S-42
Peter Alexander Bielfeld S-18
William G. Biggart S-66
Brian Eugene Bilcher S-14
Mark Bingham S-67
Carl Vincent Bini S-6
Gary Eugene Bird N-13
Joshua David Birnbaum N-42
George John Bishop S-59
Kris Romeo Bishundat S-72
Jeffrey Donald Bittner S-35
"Albert Balewa Blackman, Jr. N-48"
Christopher Joseph Blackwell S-15
Carrie Rosetta Blagburn S-1
Susan Leigh Blair S-56
"Harry Blanding, Jr. S-62"
Janice Lee Blaney N-16
Craig Michael Blass N-28
Rita Blau S-41
"Richard Middleton Blood, Jr. S-62"
